id,is_relevant,sentiment_label,sentiment_score,reason
1k294rg,True,positive,0.6,The post specifically mentions Meta's Ray-Ban smart glasses receiving updates for apps and AI.
1k639m4,True,positive,0.7,Directly discusses a new feature rollout for Ray-Ban Meta smart glasses.
1l2jg4i,True,negative,-0.5,The title specifically names Ray-Ban Meta and expresses skepticism about its longevity.
1lx92ve,True,neutral,0.0,The post directly asks about the value proposition of a specific consumer smart-glasses brand (Ray-Ban Meta).
1mdopv8,True,positive,0.7,The post specifically mentions Ray-Ban Meta and discusses its sales growth in the context of a new computing platform.
1njuell,True,positive,0.5,Directly mentions and discusses the Meta Ray-Ban smart glasses product launch.
1nkgcm8,True,negative,-0.7,The post discusses a negative event concerning Meta's Ray-Ban smart glasses demo.
1oj529r,True,negative,-0.7,The post discusses a negative incident involving Meta's Ray-Ban smart glasses.
1ok5ev5,True,negative,-0.8,It discusses the use of Meta's Ray-Ban glasses in a negative context regarding privacy and misuse.
1onuor1,True,neutral,0.1,"The post explicitly mentions 'Ray-Ban Meta AI Glasses', directly referencing a relevant brand."
1pje409,True,negative,-0.5,The post discusses the use of Meta's Ray-Ban Smart Glasses in a controversial context involving a DHS ban.
1qlnz23,True,negative,-0.7,It specifically mentions and discusses the Meta Ray-Ban glasses in a negative context.
1r1htsj,True,positive,0.8,Directly discusses and praises the Ray-Ban Meta smart glasses experience.
1r7tn6h,True,neutral,0.1,"It discusses a competitor (Samsung) to the Ray-Ban Meta, fitting the brand comparison criteria."
1rkjw5o,True,neutral,0.1,"It specifically mentions Ray-Ban Meta glasses, which is a relevant brand in the topic."
1s8qr7s,True,positive,0.6,"Directly discusses a new product launch from Meta's Ray-Ban line, which is a key brand in the topic."
1s9hft6,True,positive,0.6,"Directly discusses a new feature for Ray-Ban Smart Glasses, a key brand in the topic."
1sn5pei,True,neutral,0.1,"The post specifically mentions Ray-Ban Meta, a key brand in the topic of consumer smart glasses."
1t0r5t5,True,negative,-0.8,Directly discusses Ray-Ban Meta glasses and a negative event concerning their use.
1jqsax1,True,neutral,0.1,"The title directly mentions Ray-Ban and Meta, key brands in the smart glasses discussion."
1nlj2v9,True,positive,0.8,The post specifically mentions and praises the Meta Ray-Ban smart glasses.
1r4ll5s,True,neutral,0.0,"The post mentions a specific brand (Ray-Ban Meta) in a context, indicating relevance."
1jtadhu,True,neutral,0.1,"Discusses market leaders (Meta, Ray-Ban, Xreal) and future direction of smart glasses."
1kkvflh,True,negative,-0.8,The post specifically discusses battery life issues with Meta's Ray-Ban smart glasses.
1pf55q0,True,negative,-0.3,"Discusses Meta shifting focus away from the metaverse to AI wearables, indicating a strategic pivot."
1qikax1,True,neutral,0.1,Directly asks about the use-case and market positioning of Meta Ray-Ban smart glasses.
1qkoixl,True,positive,0.6,Discusses Meta's strategic pivot towards Ray-Ban smart glasses and the growth of the category.
1r2rxzo,True,neutral,0.0,Directly compares two specific consumer smart-glasses brands (Meta and Apple) in a competitive context.
1irpnwn,True,positive,0.7,The post directly discusses a specific consumer smart-glasses brand (Ray-Ban Meta) and its sales success.
1k67n8w,True,positive,0.7,Directly discusses a new feature rollout for Ray-Ban Meta smart glasses.
1oozlzg,True,negative,-0.8,The post specifically discusses Meta Ray-Ban glasses and expresses strong negative sentiment regarding privacy.
1pidi2s,True,neutral,0.1,The post specifically mentions Ray-Ban Meta glasses and discusses relevant topics like privacy and competition.
1prnzj6,True,neutral,0.1,Mentions Ray-Ban Meta glasses in the context of privacy concerns regarding video recording.
1rjoi7v,True,negative,-0.8,The post directly discusses a specific brand (Meta Ray-Ban) and a negative controversy surrounding its data handling.
1rkjuo6,True,neutral,0.1,"Discusses a specific feature/functionality of Ray-Ban Meta glasses, which is a relevant brand."
1hrfuyr,True,neutral,0.0,"The post specifically mentions Ray-Ban Meta Glasses, a relevant brand in the topic."
1hsxoua,True,neutral,0.1,The user explicitly mentions Ray-Ban Meta and seeks comparisons/suggestions for other brands.
1i30q89,True,negative,-0.3,The post discusses a specific issue (headaches) related to the Ray-Ban Meta Smart Glasses.
1i3mbpg,True,neutral,0.1,"The post directly discusses Ray-Ban Meta and Google Android XR glasses, comparing features and asking for advice."
1ivyv5p,True,neutral,0.1,Discusses Ray-Ban Meta and compares it to other audio glasses options.
1j074tw,True,positive,0.7,Directly compares and praises the Meta Aria Gen 2 smart glasses against Ray-Ban Meta.
1j6f7a1,True,neutral,0.1,"The post discusses smart glasses and audio tech, specifically mentioning Meta Ray-Ban and Xreal."
1jb57dj,True,positive,0.7,The post provides a real-world test of Ray-Ban Meta Smart Glasses lenses in driving conditions.
1jh2j22,True,positive,0.6,It specifically discusses the Ray-Ban Meta glasses and suggests feature improvements for the brand.
1jnlh8m,True,neutral,0.0,The post specifically discusses a feature/issue related to the Ray-Ban Meta Smart Glasses.
1ju32mt,True,positive,0.7,The post is a detailed review and comparison of Meta Ray-Ban smart glasses features.
1juer23,True,negative,-0.3,The user is specifically asking for alternatives to Meta/Ray-Ban Meta glasses due to negative feelings towards the brand.
1k1ccmk,True,neutral,0.1,The post explicitly mentions Ray-Ban Meta and is a survey about smart glasses technology.
1k20vmq,True,neutral,0.1,The user mentions Ray-Ban Meta and seeks recommendations for productivity smart glasses.
1k9lgvl,True,neutral,0.1,The user specifically mentions the Ray-Ban Meta and seeks recommendations for smart glasses.
1kaokhq,True,negative,-0.4,The user specifically mentions and criticizes the Ray-Ban Meta glasses regarding battery life and cost.
1kjz46n,True,neutral,0.0,Directly compares Apple's potential entry against Ray-Ban Meta glasses.
1kjzzcv,True,positive,0.8,The post specifically mentions and praises the Ray-Ban Meta glasses experience.
1kln8tg,True,neutral,0.1,The user specifically mentions Ray-Ban Meta glasses while seeking alternatives for RTMP streaming.
1kr1bgx,True,neutral,0.1,Mentions Meta Ray-Ban and Apple Vision Pro in the context of future AR integration.
1kzxote,True,neutral,0.1,The post specifically asks about the Ray-Ban Meta glasses for a practical use case.
1lb1raf,True,neutral,0.1,The post specifically discusses purchasing and features of Ray-Ban Meta glasses.
1lbn6b4,True,neutral,0.1,The user is specifically asking for advice comparing Ray-Ban Meta to other options for smart glasses.
1lehtp2,True,neutral,0.1,The post specifically mentions and compares the Meta Ray-Ban Glasses in the context of smart glasses functionality.
1lmmepn,True,neutral,0.1,The post specifically asks about the functionality of Ray-Ban Meta glasses for reading in low light.
1lqg87k,True,positive,0.6,The post specifically mentions using Meta Ray-Ban smart glasses to create content.
1lryvbm,True,neutral,0.1,"The post directly compares Meta Ray-Ban and Meta Oakley smart glasses, focusing on features."
1lyhqhb,True,neutral,0.1,The post specifically discusses a feature limitation of the Ray-Ban Meta glasses.
1m9pbxk,True,neutral,0.1,Mentions Meta Ray-Ban glasses and compares its AI features to competitors.
1miwp9m,True,neutral,0.1,Mentions Meta Ray-Ban Wayfarers and discusses desired features for smart glasses.
1mmt95l,True,negative,-0.9,The post discusses significant data loss and reliability issues with Meta Ray-Ban smart glasses.
1n0z6uk,True,positive,0.8,The post discusses Meta's Ray-Ban smart glasses and future developments in the smart glasses market.
1n3zl9b,True,neutral,0.1,"The user is asking for recommendations on specific smart-glasses brands (Ray-Ban Meta, Xiaomi) for AI use."
1n6vidy,True,neutral,0.1,It mentions Ray-Ban Meta specifically in the context of a functional query about smart glasses.
1n8tez7,True,negative,-0.7,"The post is a direct discussion about the Ray-Ban Meta smart glasses, focusing on a negative experience (theft)."
1njwp3k,True,positive,0.7,"Directly discusses Meta's Ray-Ban smart glasses, a key brand in the topic."
1nnectc,True,neutral,0.1,The post specifically discusses the Ray-Ban Meta glasses and their audio features for a specific user need.
1nnldto,True,neutral,0.1,The title specifically names a relevant brand (Meta Ray-Ban) and discusses its implications.
1nnvmz0,True,neutral,0.1,The post specifically asks about wearing Ray-Ban Meta glasses daily and inquires about its AI features.
1nudcgk,True,neutral,0.1,Mentions Ray Ban Meta and discusses durability concerns relevant to consumer smart glasses.
1nvm5xx,True,neutral,0.1,The user specifically mentions and compares the Ray-Ban Meta glasses while seeking alternatives.
1nw9umx,True,neutral,0.1,"The post specifically discusses Meta Ray-Ban glasses and related technology, fitting the brand focus."
1oab4d2,True,negative,-0.6,The post specifically discusses the size and appearance of Meta Ray-Ban smart glasses.
1ok5v4n,True,neutral,0.1,"The user specifically mentions Ray-Ban Meta and asks for affordable alternatives, engaging with a key brand."
1oofpce,True,neutral,0.1,"The post directly compares Ray-Ban Meta and Google's G1 smart glasses, fitting the brand criteria."
1oofpe7,True,neutral,0.1,"The post directly compares Ray-Ban Meta and Google's G1 smart glasses, fitting the brand criteria."
1op95sz,True,neutral,0.1,"The post discusses specific smart-glasses brands (Meta Ray-Ban, XREAL) and seeks comparisons for a purchase decision."
1oryxav,True,positive,0.7,The post directly promotes a discount for purchasing Ray-Ban Meta glasses.
1ouo4u5,True,neutral,0.1,The post specifically asks for comparisons between budget options and Ray-Ban/Meta glasses for recording.
1ov2lfo,True,negative,-0.5,The post discusses a negative experience using progressive lenses in Ray-Ban Meta smart glasses.
1p1f0qi,True,positive,0.6,The user is specifically asking for comparisons regarding the Ray-Ban Meta glasses.
1p45bi7,True,positive,0.6,"The post compares RayNeo's features directly against Meta's glasses, discussing specific brand capabilities."
1p6t9tb,False,neutral,0.0,"The post focuses on RayNeo, Xreal, and other non-listed brands, not the specified brands (Meta, Apple, Google, Snap, Xiaomi)."
